UBIGEO,NAME_CLEAN,YEAR,count,mean,min,max,std,p10,p90,pct_below_0C
001190,HUANCAYO,2022,7,-0.13297416269779205,-0.9308190941810608,0.0,0.32571882009506226,-0.37232762575149536,0.0,1.0
001191,MITO,2022,3,1.628301739692688,0.0,4.8849053382873535,2.3027665615081787,0.0,3.907924175262451,0.6666666666666666
001192,HUANCAVELICA,2022,8,0.18655677139759064,0.0,1.492454171180725,0.4935828149318695,0.0,0.44773581624031067,0.875
001193,KOSNIPATA,2022,18,2.989596366882324,0.0,18.951000213623047,6.696308135986328,0.0,17.121347427368164,0.8333333333333334
001194,MARISCAL CACERES,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001195,COAYLLO,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001196,MOYA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001197,PILCHACA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001198,OMAS,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001199,HUANTAN,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001200,HUAYLLAHUARA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001201,SAN BARTOLO,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001202,YAUYOS,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001203,ACOSTAMBO,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001204,ACRAQUIA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001205,CARHUACALLANGA,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001206,QUELLOUNO,2022,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001207,CALANGO,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001208,HUASICANCHA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001209,CHACAPAMPA,2022,3,1.0284414291381836,0.0,3.085324287414551,1.4544357061386108,0.0,2.468259334564209,0.6666666666666666
001210,HUAMPARA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001211,CHONGOS ALTO,2022,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001212,AHUAYCHA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001213,LARAOS,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001214,CARANIA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001215,DANIEL HERNANDEZ,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001216,NAHUIMPUQUIO,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001217,CHILCA,2022,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001218,LAHUAYTAMBO,2022,4,5.845676422119141,0.0,10.644217491149902,3.9744770526885986,1.416014313697815,9.856483459472656,0.25
001219,PACHACAMAC,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001220,HUAMANCACA CHICO,2022,1,4.992969989776611,4.992969989776611,4.992969989776611,0.0,4.992969989776611,4.992969989776611,0.0
001221,LA VICTORIA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001222,LA MOLINA,2022,2,17.270254135131836,16.870149612426758,17.670358657836914,0.4001045227050781,16.950170516967773,17.5903377532959,0.0
001223,BELLAVISTA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001224,BRENA,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001225,CHILCA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001226,SAPALLANGA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001227,CHUPACA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001228,SAN PEDRO DE HUANCAYRE,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001229,SALCAHUASI,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001230,SAN JUAN DE JARPA,2022,5,1.291725754737854,0.0,3.878472328186035,1.6344404220581055,0.0,3.3591456413269043,0.6
001231,AHUAC,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001232,TOMAS,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001233,SURCUBAMBA,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001234,SANTA ANITA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001235,PILCOMAYO,2022,1,4.5448431968688965,4.5448431968688965,4.5448431968688965,0.0,4.5448431968688965,4.5448431968688965,0.0
001236,HUACHAC,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
