UBIGEO,NAME_CLEAN
000001,SARTIMBAMBA
000001,CONDEBAMBA
000001,CONDORMARCA
000001,CAMPANILLA
000001,SANTA CATALINA
000001,JAMALCA
000001,BELLAVISTA
000001,SAN JOSE DEL ALTO
000001,LA COIPA
000001,PARATIA
000001,SAN JUAN DE TANTARANCHE
000001,CONCEPCION
000001,HUAROCHIRI
000001,COSME
000001,CONAYCA
000001,SANTA CRUZ DE FLORES
000001,IZCUCHACA
000001,NUEVO OCCORO
000001,HUAYACUNDO ARMA
000001,KISHUARA
000001,SANTO DOMINGO DE CAPILLAS
000001,WANCHAQ
000001,HUAYTARA
000001,OCONGATE
000001,TRES DE DICIEMBRE
000001,HUANCAN
000001,SAN ISIDRO
000001,MAGDALENA DEL MAR
000001,SAN JUAN DE ISCOS
000001,SAN BORJA
000001,LINCE
000001,SANTIAGO DE SURCO
000001,SALCABAMBA
000001,VITIS
000001,PUEBLO LIBRE
000001,LA PUNTA
000001,JEPELACIO
000001,PACORA
000001,LA JALCA
000001,LIMABAMBA
000001,SAN JUAN BAUTISTA
000001,IQUITOS
000001,PAMPAS DE HOSPITAL
000001,ZORRITOS
000001,SAN JACINTO
000001,LA PECA
000001,MATAPALO
000001,LA CRUZ
000001,SAN FRANCISCO DE DAGUAS
000001,SANTO DOMINGO DE LA CAPILLA
000001,MARISCAL BENAVIDES
000001,CHACHAPOYAS
000001,LA RAMADA
000001,LONYA CHICO
000001,TABALOSOS
000001,SANTA ROSA DE OCOPA
000001,ATAURA
000001,CALLAHUANCA
000001,YAUYOS
000001,LLOCLLAPAMPA
000001,SAN JUAN DE RONTOY
000001,CAJAY
000001,ACZO
000001,MONZON
000001,MAGDALENA
000001,LONGUITA
000001,CHIMBAN
000001,MIRACOSTA
000001,SAN LUIS DE LUCMA
000001,SOCOTA
000001,INGUILPATA
000001,HUANCAS
000001,PAPAPLAYA
000001,PINTO RECODO
000001,MOTUPE
000001,SANTO TOMAS
000001,CHILIQUIN
000001,CHURUJA
000001,RIOJA
000001,CANARIS
000001,PIMPINGOS
000001,CALZADA
000001,ELIAS SOPLIN VARGAS
000001,CAYNARACHI
000001,LONYA GRANDE
000001,SAN CARLOS
000001,ALTO TAPICHE
000001,ASUNCION
000001,POSIC
000001,YAMON
000001,NIEVA
000001,MANSERICHE
000001,YAVARI
000001,PARINARI
000001,SAN FRANCISCO DEL YESO
000001,MOYOBAMBA
000001,BARRANCA
000001,CUMBA
000001,CRISTO NOS VALGA
000001,RINCONADA LLICUAR
000001,HUARMACA
000001,BERNAL
000001,BELLAVISTA DE LA UNION
000001,EL TALLAN
000001,VICE
000001,SAN MIGUEL DE EL FAIQUE
000001,CURA MORI
000001,SONDORILLO
000001,SALITRAL
000001,SONDOR
000001,LA ARENA
000001,TARICA
000001,PIMENTEL
000001,VARGAS GUERRA
000001,JOSE LEONARDO ORTIZ
000001,COMANDANTE NOEL
000001,PARIAHUANCA
000001,HUACHIS
000001,RAHUAPAMPA
000001,SAN MIGUEL DE ACO
000001,MASIN
000001,PONTO
000001,TANTAMAYO
000001,ACOPAMPA
000001,SINGA
000001,BUENA VISTA ALTA
000001,HUACACHI
000001,TINCO
000001,MARCARA
000001,ATAQUERO
000001,PINRA
000001,HUACAYBAMBA
000001,SANTA CRUZ
000001,PISCOBAMBA
000001,SAPOSOA
000001,CHONTABAMBA
000001,OXAPAMPA
000001,VILLA RICA
000001,HUACHON
000001,TICLACAYAN
000001,COLPAS
000001,RAIMONDI
000001,CAYNA
000001,HUACAR
000001,CONCHAMARCA
000001,MARGOS
000001,SAN PEDRO DE CHAULAN
000001,PILLCO MARCA
000001,ANDOAS
000001,ALTO NANAY
000001,MAZAN
000001,TROMPETEROS
000001,TIGRE
000001,NAPO
000001,PUTUMAYO
000001,TORRES CAUSANA
000001,TENIENTE MANUEL CLAVERO
000001,CHETO
000001,LUYA VIEJO
000001,CONILA
000001,SATIPO
000001,CHURCAMPA
000001,LOCROJA
000001,SAN PEDRO DE CORIS
000001,CARAMPOMA
000001,SANTA ROSA DE QUIVES
000001,COCHAS
000001,ANDAMARCA
000001,MARISCAL CASTILLA
000001,POMACANCHA
000001,LACHAQUI
000001,SANTA ROSA DE SACCO
000001,CARABAYLLO
000001,COCHAMARCA
000001,PACHANGARA
000001,NAVAN
000001,HUAYLLAY
000001,TINYAHUARCO
000001,SEPAHUA
000001,SAN LUIS DE SHUARO
000001,LABERINTO
000001,ULCUMAYO
000001,CAUJUL
000001,CHAUPIMARCA
000001,ANDAJES
000001,PICHANAQUI
000001,NINACACA
000001,PERENE
000001,VEGUETA
